msg_id,app_protocol,src_app,dst_app,message,timestamp
1,HTTP,client_browser,web_server,GET /index.html,0.001
2,HTTP,client_browser,web_server,GET /login,0.003
3,HTTP,client_browser,web_server,POST /login,0.005
4,HTTP,web_server,client_browser,200 OK,0.007
5,HTTP,web_server,client_browser,302 Redirect,0.009
6,HTTP,client_browser,web_server,GET /index.html,0.011
7,HTTP,client_browser,web_server,GET /login,0.013
8,HTTP,client_browser,web_server,POST /login,0.015
9,HTTP,web_server,client_browser,200 OK,0.017
10,HTTP,web_server,client_browser,302 Redirect,0.019
11,HTTP,client_browser,web_server,GET /index.html,0.021
12,HTTP,client_browser,web_server,GET /login,0.023
13,HTTP,client_browser,web_server,POST /login,0.025
14,HTTP,web_server,client_browser,200 OK,0.027
15,HTTP,web_server,client_browser,302 Redirect,0.029
16,HTTP,client_browser,web_server,GET /index.html,0.031
17,HTTP,client_browser,web_server,GET /login,0.033
18,HTTP,client_browser,web_server,POST /login,0.035
19,HTTP,web_server,client_browser,200 OK,0.037
20,HTTP,web_server,client_browser,302 Redirect,0.039
21,HTTP,client_browser,web_server,GET /index.html,0.041
22,HTTP,client_browser,web_server,GET /login,0.043
23,HTTP,client_browser,web_server,POST /login,0.045
24,HTTP,web_server,client_browser,200 OK,0.047
25,HTTP,web_server,client_browser,302 Redirect,0.049
26,HTTP,client_browser,web_server,GET /index.html,0.051
27,HTTP,client_browser,web_server,GET /login,0.053
28,HTTP,client_browser,web_server,POST /login,0.055
29,HTTP,web_server,client_browser,200 OK,0.057
30,HTTP,web_server,client_browser,302 Redirect,0.059
31,HTTP,client_browser,web_server,GET /index.html,0.061
32,HTTP,client_browser,web_server,GET /login,0.063
33,HTTP,client_browser,web_server,POST /login,0.065
34,HTTP,web_server,client_browser,200 OK,0.067
35,HTTP,web_server,client_browser,302 Redirect,0.069
36,HTTP,client_browser,web_server,GET /index.html,0.071
37,HTTP,client_browser,web_server,GET /login,0.073
38,HTTP,client_browser,web_server,POST /login,0.075
39,HTTP,web_server,client_browser,200 OK,0.077
40,HTTP,web_server,client_browser,302 Redirect,0.079
41,HTTP,client_browser,web_server,GET /index.html,0.081
42,HTTP,client_browser,web_server,GET /login,0.083
43,HTTP,client_browser,web_server,POST /login,0.085
44,HTTP,web_server,client_browser,200 OK,0.087
45,HTTP,web_server,client_browser,302 Redirect,0.089
46,HTTP,client_browser,web_server,GET /index.html,0.091
47,HTTP,client_browser,web_server,GET /login,0.093
48,HTTP,client_browser,web_server,POST /login,0.095
49,HTTP,web_server,client_browser,200 OK,0.097
50,HTTP,web_server,client_browser,302 Redirect,0.099
51,HTTP,client_browser,web_server,GET /index.html,0.101
52,HTTP,client_browser,web_server,GET /login,0.103
53,HTTP,client_browser,web_server,POST /login,0.105
54,HTTP,web_server,client_browser,200 OK,0.107
55,HTTP,web_server,client_browser,302 Redirect,0.109
56,HTTP,client_browser,web_server,GET /index.html,0.111
57,HTTP,client_browser,web_server,GET /login,0.113
58,HTTP,client_browser,web_server,POST /login,0.115
59,HTTP,web_server,client_browser,200 OK,0.117
60,HTTP,web_server,client_browser,302 Redirect,0.119
61,HTTP,client_browser,web_server,GET /index.html,0.121
62,HTTP,client_browser,web_server,GET /login,0.123
63,HTTP,client_browser,web_server,POST /login,0.125
64,HTTP,web_server,client_browser,200 OK,0.127
65,HTTP,web_server,client_browser,302 Redirect,0.129
66,HTTP,client_browser,web_server,GET /index.html,0.131
67,HTTP,client_browser,web_server,GET /login,0.133
68,HTTP,client_browser,web_server,POST /login,0.135
69,HTTP,web_server,client_browser,200 OK,0.137
70,HTTP,web_server,client_browser,302 Redirect,0.139
71,HTTP,client_browser,web_server,GET /index.html,0.141
72,HTTP,client_browser,web_server,GET /login,0.143
73,HTTP,client_browser,web_server,POST /login,0.145
74,HTTP,web_server,client_browser,200 OK,0.147
75,HTTP,web_server,client_browser,302 Redirect,0.149
76,HTTP,client_browser,web_server,GET /index.html,0.151
77,HTTP,client_browser,web_server,GET /login,0.153
78,HTTP,client_browser,web_server,POST /login,0.155
79,HTTP,web_server,client_browser,200 OK,0.157
80,HTTP,web_server,client_browser,302 Redirect,0.159
81,HTTP,client_browser,web_server,GET /index.html,0.161
82,HTTP,client_browser,web_server,GET /login,0.163
83,HTTP,client_browser,web_server,POST /login,0.165
84,HTTP,web_server,client_browser,200 OK,0.167
85,HTTP,web_server,client_browser,302 Redirect,0.169
86,HTTP,client_browser,web_server,GET /index.html,0.171
87,HTTP,client_browser,web_server,GET /login,0.173
88,HTTP,client_browser,web_server,POST /login,0.175
89,HTTP,web_server,client_browser,200 OK,0.177
90,HTTP,web_server,client_browser,302 Redirect,0.179
91,HTTP,client_browser,web_server,GET /index.html,0.181
92,HTTP,client_browser,web_server,GET /login,0.183
93,HTTP,client_browser,web_server,POST /login,0.185
94,HTTP,web_server,client_browser,200 OK,0.187
95,HTTP,web_server,client_browser,302 Redirect,0.189
96,HTTP,client_browser,web_server,GET /index.html,0.191
97,HTTP,client_browser,web_server,GET /login,0.193
98,HTTP,client_browser,web_server,POST /login,0.195
99,HTTP,web_server,client_browser,200 OK,0.197
100,HTTP,web_server,client_browser,302 Redirect,0.199
